영역구분	교과목명	학수번호	수강반번호	학점	이론	실습	교수명	강의시간	강의실	비고
<역량교양>
필수역량교양	English/Zone영어	ZTA10001	1	4	0	10	이석광(인문대학 영어영문학과)	"월11, 12, 13, 화11, 12, 13, 수11, 12, 13, 목11, 12, 13"	[ ]	null
필수역량교양	대학영어1	ZTA10002	1	2	2	0	구승본(인문대학 영어영문학과)	"수5, 6"	[024-0241]	"경제1, 사회1"
필수역량교양	대학영어1	ZTA10002	2	2	2	0	이정화(인문대학 영어영문학과)	"월8, 9"	[024-0225]	"사회복지1, 행정1"
필수역량교양	대학영어1	ZTA10002	3	2	2	0	이희정(사범대학 영어교육과)	"월2, 3"	[024-0141]	"심리1, 정치외교1"
필수역량교양	대학영어1	ZTA10002	4	2	2	0	박귀숙(사범대학 영어교육과)	"화6, 7"	[024-0241]	건축도시토목1-1
필수역량교양	대학영어1	ZTA10002	5	2	2	0	윤수현(사범대학 영어교육과)	"화6, 7"	[024-0243]	건축도시토목1-2
필수역량교양	대학영어1	ZTA10002	6	2	2	0	강연주(인문대학 영어영문학과)	"목8, 9"	[024-0256]	기계항공정보융합1-1
필수역량교양	대학영어1	ZTA10002	7	2	2	0	강선옥(인문대학 영어영문학과)	"목8, 9"	[024-0243]	기계항공정보융합1-2
필수역량교양	대학영어1	ZTA10002	8	2	2	0	구승본(인문대학 영어영문학과)	"수2, 3"	[024-0241]	나노.신소재1-1
필수역량교양	대학영어1	ZTA10002	9	2	2	0	한미영(인문대학 영어영문학과)	"수2, 3"	[024-0125]	나노.신소재1-2
필수역량교양	대학영어1	ZTA10002	10	2	2	0	박귀숙(사범대학 영어교육과)	"화1, 2"	[024-0241]	산업시스템1
필수역량교양	대학영어1	ZTA10002	11	2	2	0	강선옥(인문대학 영어영문학과)	"금2, 3"	[024-0225]	"건축1, 화학공학1"
필수역량교양	대학영어1	ZTA10002	12	2	2	0	이정화(인문대학 영어영문학과)	"목1, 2"	[024-0241]	"반도체1, 전자1-1"
필수역량교양	대학영어1	ZTA10002	13	2	2	0	강선옥(인문대학 영어영문학과)	"목1, 2"	[024-0243]	"전자1-2, 전기1-1"
필수역량교양	대학영어1	ZTA10002	14	2	2	0	변세희(인문대학 영어영문학과)	"목1, 2"	[024-0127]	"전기1-2, 제어계측1"
필수역량교양	대학영어1	ZTA10002	15	2	2	0	변세희(인문대학 영어영문학과)	"목3, 4"	[024-0127]	"식품자원경제1, 식물의학1"
필수역량교양	대학영어1	ZTA10002	16	2	2	0	박경연(사범대학 영어교육과)	"화1, 2"	[024-0227]	환경산림1
필수역량교양	대학영어1	ZTA10002	17	2	2	0	윤수현(사범대학 영어교육과)	"화8, 9"	[024-0243]	농업식물1
필수역량교양	대학영어1	ZTA10002	18	2	2	0	심재영(인문대학 영어영문학과)	"월6, 7"	[024-0141]	농화학식품1
필수역량교양	대학영어1	ZTA10002	19	2	2	0	변세희(인문대학 영어영문학과)	"화3, 4"	[024-0227]	축산생명1
필수역량교양	대학영어1	ZTA10002	20	2	2	0	전병철(인문대학 한문학과)	"금2, 3"	[024-0227]	애그로시스템1
필수역량교양	대학영어1	ZTA10002	21	2	2	0	이석광(인문대학 영어영문학과)	"화3, 4"	[024-0258]	법학1
필수역량교양	대학영어1	ZTA10002	22	2	2	0	이석광(인문대학 영어영문학과)	"화1, 2"	[024-0258]	수의예1
필수역량교양	대학영어1	ZTA10002	23	2	2	0	한미영(인문대학 영어영문학과)	"월2, 3"	[024-0127]	의예1
필수역량교양	대학영어1	ZTA10002	24	2	2	0	박귀숙(사범대학 영어교육과)	"월8, 9"	[024-0243]	전체 학년
필수역량교양	대학영어2	ZTA10003	1	2	2	0	강사미정(경상대학)	"월2, 3"	[029-0306]	국문1-1
필수역량교양	대학영어2	ZTA10003	2	2	2	0	강사미정(경상대학)	"월2, 3"	[029-0401]	국문1-2
필수역량교양	대학영어2	ZTA10003	3	2	2	0	강사미정(경상대학)	"화1, 2"	[029-0301]	독문1-1
필수역량교양	대학영어2	ZTA10003	4	2	2	0	강사미정(경상대학)	"화1, 2"	[029-0303]	러시아1-1
필수역량교양	대학영어2	ZTA10003	5	2	2	0	강사미정(경상대학)	"화1, 2"	[029-0306]	불문1-1
필수역량교양	대학영어2	ZTA10003	6	2	2	0	강사미정(경상대학)	"화1, 2"	[029-0304]	"독문1-2, 러시아1-2, 불문1-2"
필수역량교양	대학영어2	ZTA10003	7	2	2	0	강사미정(경상대학)	"목1, 2"	[029-0301]	영문1-1
필수역량교양	대학영어2	ZTA10003	8	2	2	0	강사미정(경상대학)	"목1, 2"	[029-0303]	영문1-2
필수역량교양	대학영어2	ZTA10003	9	2	2	0	강사미정(경상대학)	"월2, 3"	[029-0301]	사학1-1
필수역량교양	대학영어2	ZTA10003	10	2	2	0	강사미정(경상대학)	"월2, 3"	[029-0303]	중문1-1
